,Title,Book Rating,imdbRating
208,Life of Pi,7.76,7.9
209,The Art of War by Sun Tzu,7.9,7.9
210,Emma,7.98,6.7
211,A Clockwork Orange,7.96,8.3
212,A Clockwork Orange,7.96,8.3
213,A Clockwork Orange,7.96,8.3
214,A Clockwork Orange,7.96,8.3
215,The 7 Habits of Highly Effective People,8.1,7.3
216,The Hound of the Baskervilles,8.18,7.6
217,The Hound of the Baskervilles,8.18,7.6
218,The Witches,8.34,6.8
219,Iliad,7.66,6.1
220,House of Sand and Fog,7.66,7.6
221,A Room with a View,7.82,7.4
222,Bridge to Terabithia,7.96,7.2
223,Bridge to Terabithia,7.96,7.2
224,The Old Man and the Sea,7.46,7.0
225,Bridge to Terabithia,7.96,7.2
226,Big Fish in Middlesex,7.96,8.1
227,The Metamorphosis,7.56,3.9
228,Cloud Atlas,8.02,7.5
229,Perfume: The Story of a Murderer,8.0,7.5
230,Bridget Jones's Diary,7.5,6.7
231,The Great Gatsby,7.78,7.3
232,The Great Gatsby,7.78,7.3
233,The Great Gatsby,7.78,7.3
234,Anne of Avonlea,8.42,8.3
235,Anne of Avonlea,8.42,8.3
236,Anne of Avonlea,8.42,8.3
237,Catch-22,7.96,7.2
238,Catch-22,7.96,7.2
239,Fahrenheit 451,7.94,7.3
240,Macbeth,7.76,6.6
241,Macbeth,7.76,6.6
242,Macbeth,7.76,6.6
243,The House of the Spirits,8.4,6.9
244,The House of the Spirits,8.4,6.9
245,Great Expectations,7.5,6.8
246,Great Expectations,7.5,6.8
247,Great Expectations,7.5,6.8
248,Great Expectations,7.5,6.8
249,Memoirs of a Geisha,8.16,7.4
250,Breakfast at Tiffany's,7.78,7.7
251,Never Let Me Go,7.6,7.2
252,Moby Dick,6.94,7.4
253,The Picture of Dorian Gray,8.12,7.6
254,The Good Earth,7.94,7.8
255,Hamlet,8.0,7.8
256,Secret Garden,8.24,8.3
257,The Dark Tower,8.54,5.7
258,The Great Gatsby,7.78,7.3
259,The Great Gatsby,7.78,7.3
260,Anne of Avonlea,8.42,8.3
261,Snow Falling on Cedars,7.6,6.8
262,Snow Falling on Cedars,7.6,6.8
263,Persuasion,8.26,7.6
264,Cloud Atlas,8.02,7.5
265,The Bell Jar,7.96,5.7
266,The Bell Jar,7.96,5.7
267,Gulliver's Travels,7.1,4.9
268,Gulliver's Travels,7.1,4.9
269,Fear and Loathing in Las Vegas,8.16,7.7
270,Gulliver's Travels,7.1,4.9
271,Gulliver's Travels,7.1,4.9
272,Fear and Loathing in Las Vegas,8.16,7.7
273,Gulliver's Travels,7.1,4.9
274,Gulliver's Travels,7.1,4.9
275,The House of the Spirits,8.4,6.9
276,Breakfast at Tiffany's,7.78,7.7
277,Breakfast at Tiffany's,7.78,7.7
278,The Adventures of Huckleberry Finn,7.6,6.3
279,The Adventures of Huckleberry Finn,7.6,6.3
280,The Adventures of Huckleberry Finn,7.6,6.3
281,The Adventures of Huckleberry Finn,7.6,6.3
282,The Hours,7.82,7.6
283,Les heures souterraines,7.82,7.5
284,Brave New World,7.94,5.3
285,The Three Musketeers,8.12,5.8
286,Fahrenheit 451,7.94,7.3
287,Atonement,7.76,7.8
288,The Good Earth,7.94,7.8
289,The Canterbury Tales,6.96,6.5
290,The Handmaid's Tale,8.14,8.6
291,The Handmaid's Tale,8.14,8.6
292,Der Prozeß,7.96,7.1
293,The Catcher in the Rye,7.58,2.1
294,Life of Pi,7.76,7.9
295,Big Fish in Middlesex,7.96,8.1
296,She's Come Undone,7.68,6.8
297,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,8.3,6.2
298,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,8.3,6.2
299,Robinson Crusoe,7.32,5.9
300,The Devil Wears Prada,7.4,6.9
301,A Separate Peace,7.12,5.4
302,The Devil Wears Prada,7.4,6.9
303,The Odyssey,7.46,7.0
304,The Odyssey,7.46,7.0
305,The Woman in White,7.96,6.6
306,The Woman in White,7.96,6.6
307,The Woman in White,7.96,6.6
308,The Importance of Being Earnest,8.34,6.9
309,The Woman in White,7.96,6.6
310,The Woman in White,7.96,6.6
311,The Woman in White,7.96,6.6
312,The Pearl,6.82,7.6
313,The Bell Jar,7.96,5.7
314,Lord of the Flies,7.3,6.4
315,The Art of War,7.9,5.7
316,A Separate Peace,7.12,5.4
317,A Separate Peace,7.12,5.4
318,The Corrections,7.56,7.2
319,Of Mice and Men,7.68,7.5
320,Lolita,7.76,7.6
321,Animal Farm,7.76,7.2
322,Animal Farm,7.76,7.2
323,Into the Wild,7.9,8.1
324,V for Vendetta,8.5,8.2
325,Bridge to Terabithia,7.96,7.2
326,The Picture of Dorian Gray,8.12,7.6
327,The Picture of Dorian Gray,8.12,7.6
328,The Picture of Dorian Gray,8.12,7.6
329,Fahrenheit 451,7.94,7.3
330,The Wind in the Willows,7.96,7.8
331,Catch-22,7.96,7.2
332,Tuesdays with Morrie,8.14,7.5
333,Angela's Ashes,8.16,7.3
334,Angels & Demons,7.72,6.7
335,The Phantom Tollbooth,8.44,7.0
336,The Woman in White,7.96,6.6
337,Snow Falling on Cedars,7.6,6.8
338,The Thorn Birds,8.44,8.0
339,Hamlet,8.0,7.8
340,The Old Man and the Sea,7.46,7.0
341,Hamlet,8.0,7.8
342,A Midsummer Night's Dream,7.88,6.5
343,Veronika Decides to Die,7.38,6.5
344,Hamlet,8.0,7.8
345,Pride and Prejudice,8.48,8.9
346,The Awakening,7.26,6.5
347,The Reader,7.46,7.6
348,A Midsummer Night's Dream,7.88,6.5
349,The Five People You Meet in Heaven,7.8,7.4
350,The Lovely Bones,7.56,6.7
351,The Things They Carried,8.24,7.2
352,The Great Gatsby,7.78,7.3
353,National Theatre Live: The Curious Incident of the Dog in the Night-Time,7.56,8.2
354,Matilda,7.7,6.9
355,The Secret Garden,8.48,7.3
356,The Secret Garden,8.24,7.3
357,The Secret Garden,8.24,7.3
358,Of Mice and Men,8.24,7.5
359,Of Mice and Men,7.68,7.5
360,A Million Little Pieces,7.68,1.3
361,The Bell Jar,7.24,5.7
362,Robinson Crusoe,8.08,5.9
363,Robinson Crusoe,7.32,5.9
364,Robinson Crusoe,7.32,5.9
365,Robinson Crusoe,7.32,5.9
366,Robinson Crusoe,7.32,5.9
367,Anne of Avonlea,8.42,8.3
368,Moby Dick,6.94,7.4
369,The Prophet,7.78,7.1
370,A Million Little Pieces,8.66,1.3
371,The Brothers Karamazov,7.24,6.8
372,The Brothers Karamazov,8.62,6.8
373,Atlas Shrugged: Part I,8.62,5.7
374,Atlas Shrugged: Part I,8.08,5.7
375,Atlas Shrugged: Part I,7.36,5.7
376,Atlas Shrugged: Part I,7.36,5.7
377,Memoirs of a Geisha,7.48,7.4
378,Midnight in the Garden of Good and Evil,8.16,6.6
379,Midnight in the Garden of Good and Evil,7.8,6.6
380,Robinson Crusoe,7.8,5.9
381,Robinson Crusoe,7.32,5.9
382,National Theatre Live: The Curious Incident of the Dog in the Night-Time,7.32,8.2
383,Anna Karenina,8.04,6.6
384,THINK and GROW RICH: The Legacy,8.04,9.1
385,THINK and GROW RICH: The Legacy,8.34,9.1
386,THINK and GROW RICH: The Legacy,8.34,9.1
387,THINK and GROW RICH: The Legacy,8.34,9.1
388,THINK and GROW RICH: The Legacy,8.34,9.1
389,Treasure Island,8.26,7.0
390,Treasure Island,7.64,7.0
391,The Glass Castle,7.8,7.2
392,The Glass Castle,8.48,7.2
393,The Glass Castle,8.48,7.2
394,National Theatre Live: The Curious Incident of the Dog in the Night-Time,8.48,8.2
395,Robinson Crusoe,8.48,5.9
396,Robinson Crusoe,7.32,5.9
397,A Little Princess,7.32,7.7
398,The Secret Garden,8.38,7.3
399,Little Women,8.24,7.3
400,Little Women,8.08,7.3
401,High Fidelity,8.08,7.5
